section;title;speaker;date;time_start;time_end;room;description;materials_status;contacts
Общее;Открытие конференции;;2026-03-21;10:00;10:20;305;Открытие и приветственное слово;open;
Лекции;От индивидуального события к контакту. Феноменология формы;"Оксана Ковальчук; Константин Логинов";2026-03-21;10:20;11:20;305;Лекция;open;
Общее;Представление мастерских;;2026-03-21;11:20;11:50;305;;open;
;;;;;;;;;
Мастерские;Сенсомоторное сопротивление: слияние и проекция;Танат Сарсенбай;2026-03-21;12:10;13:40;112;;open;
Мастерские;Нарциссическая травма в терапевтическом поле;Тимур Аширбаев;2026-03-21;12:10;13:40;113;;open;
Мастерские;ДАО смысла;"Светлана Челиатиди; Дина Кадырбаева";2026-03-21;12:10;13:40;114;;open;
Мастерские;Выход из панической атаки;Халида Шамшиева;2026-03-21;12:10;13:40;211;;open;
Мастерские;Путь героя;Ирина Непомнящая;2026-03-21;12:10;13:40;212;;open;
Мастерские;Переживание опыта отвержения;Инна Лаптева;2026-03-21;12:10;13:40;213;;open;
;;;;;;;;;
Мастерские;Боль: смыслы и формы;Гульмира Кусаинова;2026-03-21;15:10;16:40;112;;open;
Мастерские;Симптом как форма контакта;Елена Ким;2026-03-21;15:10;16:40;113;;open;
Мастерские;Исследование сексуальности;"Лилия Гимазетдинова; Марина Ожогова";2026-03-21;15:10;16:40;114;;open;
Мастерские;Проективные методики с детьми;Наталья Ткаченко;2026-03-21;15:10;16:40;211;;open;
Мастерские;4 уровня дезорганизации личности;Наталья Белянко;2026-03-21;15:10;16:40;212;;open;
Мастерские;Проявленность и деньги;"Галина Каздаева; Алия Абенова";2026-03-21;15:10;16:40;213;;open;
;;;;;;;;;
Общее;Процесс группы;;2026-03-21;17:00;18:00;;Общий процесс группы;open;
;;;;;;;;;
Лекции;Со-творение общих форм бытия;"Оксана Ковальчук; Константин Логинов";2026-03-22;11:00;12:00;305;;open;
;;;;;;;;;
Круглые столы;Возрастные кризисы;"Айнура Утемуратова; Лейла Абишева";2026-03-22;12:40;13:40;112;;open;
Круглые столы;Утрата как пересборка смыслов;"Анара Шакишева; Айгуль Адырбекова";2026-03-22;12:40;13:40;113;;open;
Круглые столы;Формы потерявшие цель;Камила Дюсебаева;2026-03-22;12:40;13:40;114;;open;
Круглые столы;Онлайн работа с клиентом;"Ленара Даулбаева; Кирилл Белоглазов";2026-03-22;12:40;13:40;211;;open;
;;;;;;;;;
Мастерские;Сексуально-романтические потребности;"Юлия Васильева; Юлия Бабич";2026-03-22;15:10;16:40;112;;open;
Мастерские;Әке – мен сені жақсы көремін;Темирлан Ещанов;2026-03-22;15:10;16:40;113;;open;
Мастерские;Смыслы бытия в паре;"Ольга Смурыгина; Сергей Грунский";2026-03-22;15:10;16:40;114;;open;
Мастерские;Кто здесь?;"Айгерим Смагулова; Малик Нусанов";2026-03-22;15:10;16:40;211;;open;
Мастерские;Смыслы и формы в контакте;"Лейла Абайдельдинова; Лейла Волкотрубенко";2026-03-22;15:10;16:40;212;;open;
Мастерские;Мы→Я=Ұят;"Динара Едильбекова; Махаббат Нугуманова";2026-03-22;15:10;16:40;213;;open;
;;;;;;;;;
Общее;Завершение конференции;;2026-03-22;18:20;18:50;305;;open;